name,location,city,P.O Box,Phone,Mobile,company_page_link,Logo url
,"<span itemprop=""streetAddress"">Old Airport Rd</span>","City : Abu Dhabi,  UAE ",32890,Phone : 02-4466122Call,Phone : 02-4466122Call,,
,"<span itemprop=""streetAddress"">Near Sharjah Cinema, Mina St</span>","City : Sharjah,  UAE ",4441,Phone : 06-5697727Call,Phone : 06-5697727Call,,
,"<span itemprop=""streetAddress"">Shk Zayed Rd</span>","City : Dubai,  UAE ",72730,Phone : 04-3434585Call,Phone : 04-3434585Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6212557Call,Phone : 02-6212557Call,,
,"<span itemprop=""streetAddress"">64, Food Court, Al Razi Bldg, DHCC</span>","City : Dubai,  UAE ",72730,Phone : 04-4495330Call,Phone : 04-4495330Call,,
,"<span itemprop=""streetAddress"">Gate Building, Near to Burj 2000 Bldg, Rolla</span>","City : Sharjah,  UAE ",,Phone : 06-5635017Call,Phone : 06-5635017Call,,
,"<span itemprop=""streetAddress"">Baghdad St, Al Qusais</span>","City : Dubai,  UAE ",239287,Phone : 04-2520004Call,Phone : 04-2520004Call,,
,"<span itemprop=""streetAddress"">Emaar Building, Near Spinneys, Marina Walk</span>","City : Dubai,  UAE ",,Phone : 04-3626351Call,Phone : 04-3626351Call,,
,"<span itemprop=""streetAddress"">Jumeira 1</span>","City : Dubai,  UAE ",51777,Phone : 04-3441717Call,Phone : 04-3441717Call,,
,"<span itemprop=""streetAddress"">Mai Tower, Near Lulu Hypermarket, Al Nahda</span>","City : Dubai,  UAE ",,Phone : 04-2963330Call,Phone : 04-2963330Call,,
,"<span itemprop=""streetAddress"">Hor Al Anz</span>","City : Dubai,  UAE ",,Phone : 04-2970447Call,Phone : 04-2970447Call,,
,"<span itemprop=""streetAddress"">Opp Madina S/Market</span>","City : Fujairah,  UAE ",3796,Phone : 09-2242088Call,Phone : 09-2242088Call,,
,"<span itemprop=""streetAddress"">Damascus St, Al Qusais</span>","City : Dubai,  UAE ",,Phone : 04-2582400Call,Phone : 04-2582400Call,,
,"<span itemprop=""streetAddress"">Electra St</span>","City : Abu Dhabi,  UAE ",3987,Phone : 02-6332728Call,Phone : 02-6332728Call,,
,"<span itemprop=""streetAddress"">Burj Khalifa</span>","City : Dubai,  UAE ",20899,Phone : 04-4226767Call,Phone : 04-4226767Call,,
,"<span itemprop=""streetAddress"">The Dubai Mall</span>","City : Dubai,  UAE ",,Phone : 04-4341433Call,Phone : 04-4341433Call,,
,"<span itemprop=""streetAddress"">Etisalat Rd</span>","City : Abu Dhabi,  UAE ",,Phone : 02-2222770Call,Phone : 02-2222770Call,,
,"<span itemprop=""streetAddress"">Shop No. 12, Rimal Hotel, JBR</span>","City : Dubai,  UAE ",,Phone : 04-4230766Call,Phone : 04-4230766Call,,
,"<span itemprop=""streetAddress"">Near Al Manama Hypermarket, Opposite Traffic Police Office</span>","City : Sharjah,  UAE ",46528,Phone : 06-5480426Call,Phone : 06-5480426Call,,
,"<span itemprop=""streetAddress"">One &amp; Only Royal Mirage, Sufouh</span>","City : Dubai,  UAE ",,Phone : 04-3999999Call,Phone : 04-3999999Call,,
,"<span itemprop=""streetAddress"">Shop 15, Jumeirah Bay Tower, X2, JLT</span>","City : Dubai,  UAE ",,Phone : 04-3619601Call,Phone : 04-3619601Call,,
,"<span itemprop=""streetAddress"">Deira</span>","City : Dubai,  UAE ",,Phone : 04-2717610Call,Phone : 04-2717610Call,,
,"<span itemprop=""streetAddress"">Masdar City</span>","City : Abu Dhabi,  UAE ",,Phone : 02-4919401Call,Phone : 02-4919401Call,,
,"<span itemprop=""streetAddress"">Crowne Plaza, Abu Dhabi Yas Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6563000Call,Phone : 02-6563000Call,,
,"<span itemprop=""streetAddress"">225, Jumeirah St., Umm Suqeim 1</span>","City : Dubai,  UAE ",,Phone : 04-3308863Call,Phone : 04-3308863Call,,
,"<span itemprop=""streetAddress"">Al Fahidi St, Bur Dubai</span>","City : Dubai,  UAE ",12516,Phone : 04-3523509Call,Phone : 04-3523509Call,,
,"<span itemprop=""streetAddress"">Khalidia St</span>","City : Abu Dhabi,  UAE ",75256,Phone : 02-6665141Call,Phone : 02-6665141Call,,
,"<span itemprop=""streetAddress"">Near Al Rigga MS, Al Rigga St, Deira</span>","City : Dubai,  UAE ",184934,Phone : 04-2999465Call,Phone : 04-2999465Call,,
,"<span itemprop=""streetAddress"">Al Baraka Masjid Bldg, Near Irani Hospital, Jumeirah 1</span>","City : Dubai,  UAE ",,Phone : 04-3455540Call,Phone : 04-3455540Call,,
,"<span itemprop=""streetAddress"">Hamdan St</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6262099Call,Phone : 02-6262099Call,,
,"<span itemprop=""streetAddress"">Ras Al Khor</span>","City : Dubai,  UAE ",65892,Phone : 04-2896785Call,Phone : 04-2896785Call,,
,"<span itemprop=""streetAddress"">Al Rigga</span>","City : Dubai,  UAE ",,Phone : 04-2691722Call,Phone : 04-2691722Call,,
,"<span itemprop=""streetAddress"">Near Dubai Hosp, Al Khaleej St, Deira</span>","City : Dubai,  UAE ",,Phone : 04-2699980Call,Phone : 04-2699980Call,,
,"<span itemprop=""streetAddress"">Khalidiya Mall</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6390089Call,Phone : 02-6390089Call,,
,"<span itemprop=""streetAddress"">Shop 2, Barsha Business Square, Al Barsha 1</span>","City : Dubai,  UAE ",391143,Phone : 04-3256166Call,Phone : 04-3256166Call,,
,"<span itemprop=""streetAddress"">Next to Emirates NBD, Opposite Dubai Zoo, Jumeirah Beach Road, Jumeirah 1</span>","City : Dubai,  UAE ",,Phone : 04-3435910Call,Phone : 04-3435910Call,,
,"<span itemprop=""streetAddress"">The Souk, Central Market</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6882522Call,Phone : 02-6882522Call,,
,"<span itemprop=""streetAddress"">Naif Rd, Deira</span>","City : Dubai,  UAE ",,Phone : 04-2394445Call,Phone : 04-2394445Call,,
,"<span itemprop=""streetAddress"">Dubai Silicon Oasis</span>","City : Dubai,  UAE ",,Phone : 04-3312204Call,Phone : 04-3312204Call,,
,"<span itemprop=""streetAddress"">Al Rayan Hotel Bldg, Abubaker Al Siddiq St, Al Nakheel</span>","City : Ajman,  UAE ",4895,Phone : 06-7457676Call,Phone : 06-7457676Call,,
,"<span itemprop=""streetAddress"">Defense Rd</span>","City : Abu Dhabi,  UAE ",106854,Phone : 02-6418283Call,Phone : 02-6418283Call,,
,"<span itemprop=""streetAddress"">Ground Level, Bay Avenue, Executive Towers G, Business Bay</span>","City : Dubai,  UAE ",28106,Phone : 04-4535471Call,Phone : 04-4535471Call,,
,"<span itemprop=""streetAddress"">Al Shindaga Heritage Village</span>","City : Dubai,  UAE ",111488,Phone : 04-3342243Call,Phone : 04-3342243Call,,
,"<span itemprop=""streetAddress"">Bhnd Hor Al Anz Park</span>","City : Dubai,  UAE ",,Phone : 04-2689100Call,Phone : 04-2689100Call,,
,,"City : Dubai,  UAE ",,Phone : 04-3598200Call,Phone : 04-3598200Call,,
,"<span itemprop=""streetAddress"">Al Qusais Indl Area 3</span>","City : Dubai,  UAE ",6120,Phone : 04-2673131Call,Phone : 04-2673131Call,,
,"<span itemprop=""streetAddress"">Shop 1, Al Fahidi Souq, Bur Dubai</span>","City : Dubai,  UAE ",242927,Phone : 04-3231346Call,Phone : 04-3231346Call,,
,"<span itemprop=""streetAddress"">Bhnd NMC Hosp, Al Nahda 2, Al Qusais</span>","City : Dubai,  UAE ",,Phone : 04-2588844Call,Phone : 04-2588844Call,,
,"<span itemprop=""streetAddress"">Hamdan Colony, Karama</span>","City : Dubai,  UAE ",32765,Phone : 04-3963086Call,Phone : 04-3963086Call,,
,"<span itemprop=""streetAddress"">King Faisal R/A</span>","City : Sharjah,  UAE ",5617,Phone : 06-5335861Call,Phone : 06-5335861Call,,
,"<span itemprop=""streetAddress"">Al Qusais</span>","City : Dubai,  UAE ",237876,Phone : 04-2392891Call,Phone : 04-2392891Call,,
,"<span itemprop=""streetAddress"">Near NMC Hosp, Amman Rd, Al Nahda 2</span>","City : Dubai,  UAE ",,Phone : 04-2390740Call,Phone : 04-2390740Call,,
,"<span itemprop=""streetAddress"">Between Sana Fashion &amp; Lulu Hypermarket, Karama</span>","City : Dubai,  UAE ",,Phone : 04-3376406Call,Phone : 04-3376406Call,,
,"<span itemprop=""streetAddress"">Near Macro S/Market, J &amp; P R/A, Cricket Stadium Rd</span>","City : Sharjah,  UAE ",150020,Phone : 06-5433220Call,Phone : 06-5433220Call,,
,"<span itemprop=""streetAddress"">Bhnd Citymax, Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5500095Call,Phone : 06-5500095Call,,
,"<span itemprop=""streetAddress"">Al Shaab Colony, Deira</span>","City : Dubai,  UAE ",1453,Phone : 04-2626792Call,Phone : 04-2626792Call,,
,"<span itemprop=""streetAddress"">Al Qusais</span>","City : Dubai,  UAE ",,Phone : 04-2585900Call,Phone : 04-2585900Call,,
,"<span itemprop=""streetAddress"">Behind Al Masah Crystal, Al Wahda Road, Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5770177Call,Phone : 06-5770177Call,,
,"<span itemprop=""streetAddress"">Karama</span>","City : Dubai,  UAE ",114545,Phone : 04-3344334Call,Phone : 04-3344334Call,,
,"<span itemprop=""streetAddress"">Bhnd American Hospital, Oud Metha Rd</span>","City : Dubai,  UAE ",25579,Phone : 04-3360061Call,Phone : 04-3360061Call,,
,"<span itemprop=""streetAddress"">Tawwon</span>","City : Sharjah,  UAE ",,Phone : 06-5255262Call,Phone : 06-5255262Call,,
,"<span itemprop=""streetAddress"">Near Al Manar Hotel, Behind Abjar Grand Hotel, Abu Hail</span>","City : Dubai,  UAE ",,Phone : 04-2666322Call,Phone : 04-2666322Call,,
,"<span itemprop=""streetAddress"">Near Al Shirawi Ent, Noor Islamic Metro Station, Al Quoz</span>","City : Dubai,  UAE ",,Phone : 04-3466262Call,Phone : 04-3466262Call,,
,"<span itemprop=""streetAddress"">Behind Honda Showroom, Electra Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6674752Call,Phone : 02-6674752Call,,
,"<span itemprop=""streetAddress"">Airport Rd</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6437723Call,Phone : 02-6437723Call,,
,"<span itemprop=""streetAddress"">Al Khaleej Palace Hotel, Near Etisalat Bldg, Al Maktoum Rd</span>","City : Dubai,  UAE ",3720,Phone : 04-223100Call,Phone : 04-223100Call,,
,"<span itemprop=""streetAddress"">Office 2, The Code Building, Sheikh Khalifa Bin Zayed Street, Opposite Burjuman</span>","City : Dubai,  UAE ",554509,Phone : 04-2555816Call,Phone : 04-2555816Call,,
,"<span itemprop=""streetAddress"">Muroor Rd</span>","City : Abu Dhabi,  UAE ",26952,Phone : 02-4485502Call,Phone : 02-4485502Call,,
,"<span itemprop=""streetAddress"">The Collection, Saadiyat Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6783334Call,Phone : 02-6783334Call,,
,"<span itemprop=""streetAddress"">G Flr, Block L, Opp Parking Area, Karama Souq</span>","City : Dubai,  UAE ",81445,Phone : 04-3796667Call,Phone : 04-3796667Call,,
,"<span itemprop=""streetAddress"">Shop 1, Lahej Building, Karama</span>","City : Dubai,  UAE ",,Phone : 04-3940007Call,Phone : 04-3940007Call,,
,"<span itemprop=""streetAddress"">Behind Sultan Bakeries, Najda Street</span>","City : Abu Dhabi,  UAE ",51887,Phone : 02-6760588Call,Phone : 02-6760588Call,,
,"<span itemprop=""streetAddress"">JBR, JBR</span>","City : Dubai,  UAE ",,Phone : 04-4393788Call,Phone : 04-4393788Call,,
,"<span itemprop=""streetAddress"">Deira</span>","City : Dubai,  UAE ",,Phone : 04-2224650Call,Phone : 04-2224650Call,,
,,"City : Sharjah,  UAE ",,Phone : 600-525556Call,Phone : 600-525556Call,,
,"<span itemprop=""streetAddress"">Meena Bazar, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 800 585242Call,Phone : 800 585242Call,,
,"<span itemprop=""streetAddress"">Al Mansour Bldg, Near Dubai Residential Oasis, Al Qusais</span>","City : Dubai,  UAE ",,Phone : 04-2205858Call,Phone : 04-2205858Call,,
,"<span itemprop=""streetAddress"">Dibba Al Hassan</span>","City : Fujairah,  UAE ",12068,Phone : 09-2443599Call,Phone : 09-2443599Call,,
,"<span itemprop=""streetAddress"">Marina Mall</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6815531Call,Phone : 02-6815531Call,,
,"<span itemprop=""streetAddress"">Hamdan St</span>","City : Abu Dhabi,  UAE ",47838,Phone : 02-6779500Call,Phone : 02-6779500Call,,
,"<span itemprop=""streetAddress"">Sheraton. Al Markaziyah</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6970238Call,Phone : 02-6970238Call,,
,"<span itemprop=""streetAddress"">Jumeirah Beach Hotel</span>","City : Dubai,  UAE ",,Phone : 04-3480000Call,Phone : 04-3480000Call,,
,"<span itemprop=""streetAddress"">Near Emirates Gen Market, Electra St</span>","City : Abu Dhabi,  UAE ",32430,Phone : 02-6335335Call,Phone : 02-6335335Call,,
,"<span itemprop=""streetAddress"">Al Zarooni Building, Near Al Rigga Metro Station, Al Rigga</span>","City : Dubai,  UAE ",1164,Phone : 04-2278483Call,Phone : 04-2278483Call,,
,"<span itemprop=""streetAddress"">Near Grand Mini Mall, Jebel Ali Indl Area 2</span>","City : Jebel Ali,  UAE ",,Phone : 04-8804993Call,Phone : 04-8804993Call,,
,"<span itemprop=""streetAddress"">The Dubai Mall</span>","City : Dubai,  UAE ",,Phone : 04-3399933Call,Phone : 04-3399933Call,,
,"<span itemprop=""streetAddress"">Qasba</span>","City : Sharjah,  UAE ",,Phone : 06-5569877Call,Phone : 06-5569877Call,,
,"<span itemprop=""streetAddress"">Al Quoz Industrial Area 2</span>","City : Dubai,  UAE ",393878,Phone : 04-3412125Call,Phone : 04-3412125Call,,
,"<span itemprop=""streetAddress"">Opp Al Baraha Mobile Market, Deira</span>","City : Dubai,  UAE ",,Phone : 04-2727065Call,Phone : 04-2727065Call,,
,"<span itemprop=""streetAddress"">Al Rigga Rd, Deira</span>","City : Dubai,  UAE ",183721,Phone : 04-2943278Call,Phone : 04-2943278Call,,
,"<span itemprop=""streetAddress"">Mamzar</span>","City : Dubai,  UAE ",,Phone : 04-2525252Call,Phone : 04-2525252Call,,
,"<span itemprop=""streetAddress"">Sh Zayed Rd</span>","City : Dubai,  UAE ",,Phone : 04-3250046Call,Phone : 04-3250046Call,,
,"<span itemprop=""streetAddress"">Malmas Al Madeena H/M Bldg, Near Parco, Jebel Ali Indl Area 2</span>","City : Jebel Ali,  UAE ",,Phone : 04-8840430Call,Phone : 04-8840430Call,,
,"<span itemprop=""streetAddress"">Tilal Liwa Hotel</span>","City : Abu Dhabi,  UAE ",,Phone : 02-8946111Call,Phone : 02-8946111Call,,
,"<span itemprop=""streetAddress"">TCA</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6741337Call,Phone : 02-6741337Call,,
,"<span itemprop=""streetAddress"">Opp Baby Shop, Al Qassimia St</span>","City : Sharjah,  UAE ",68573,Phone : 06-5663610Call,Phone : 06-5663610Call,,
,"<span itemprop=""streetAddress"">Hamdan Bin Mohamed Street</span>","City : Abu Dhabi,  UAE ",109189,Phone : 02-6777070Call,Phone : 02-6777070Call,,
,"<span itemprop=""streetAddress"">Hamdan Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6333555Call,Phone : 02-6333555Call,,
,"<span itemprop=""streetAddress"">Passport Road</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6419996Call,Phone : 02-6419996Call,,
,"<span itemprop=""streetAddress"">G Flr, Al Futtaim Bldg, Opp Deira Water Tank, Deira</span>","City : Dubai,  UAE ",,Phone : 04-2285905Call,Phone : 04-2285905Call,,
,"<span itemprop=""streetAddress"">Mirdif City Centre</span>","City : Dubai,  UAE ",,Phone : 056-1880045Call,Phone : 056-1880045Call,,
,"<span itemprop=""streetAddress"">Mushrif Mall</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6500205Call,Phone : 02-6500205Call,,
,"<span itemprop=""streetAddress"">Maryah Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6654776Call,Phone : 02-6654776Call,,
,"<span itemprop=""streetAddress"">Jumeirah Al Etihad Towers, Al Khubeirah</span>","City : Abu Dhabi,  UAE ",,Phone : 02-8115555Call,Phone : 02-8115555Call,,
,"<span itemprop=""streetAddress"">Ritz Carlton, Khor Al Maqta</span>","City : Abu Dhabi,  UAE ",,Phone : 02-8188282Call,Phone : 02-8188282Call,,
,"<span itemprop=""streetAddress"">Al Ahli House - 4, Qusais</span>","City : Dubai,  UAE ",,Phone : 04-2589940Call,Phone : 04-2589940Call,,
,"<span itemprop=""streetAddress"">Near New Burjuman Centre, Bhnd Iranian School, Karama</span>","City : Dubai,  UAE ",,Phone : 04-3963562Call,Phone : 04-3963562Call,,
,"<span itemprop=""streetAddress"">Near Palm Beach Hotel, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3554121Call,Phone : 04-3554121Call,,
,,"City : Dubai,  UAE ",,Phone : 800 626452Call,Phone : 800 626452Call,,
,"<span itemprop=""streetAddress"">Jafliya</span>","City : Dubai,  UAE ",,Phone : 04-3989193Call,Phone : 04-3989193Call,,
,"<span itemprop=""streetAddress"">Mirdif City Centre</span>","City : Dubai,  UAE ",,Phone : 800 566366Call,Phone : 800 566366Call,,
,"<span itemprop=""streetAddress"">Bhnd National Bank Of Dubai, Near Astoria, Meena Bazar, Bur Dubai</span>","City : Dubai,  UAE ",45595,Phone : 04-3550498Call,Phone : 04-3550498Call,,
,"<span itemprop=""streetAddress"">Dubai Marina</span>","City : Dubai,  UAE ",,Phone : 04-3995000Call,Phone : 04-3995000Call,,
,"<span itemprop=""streetAddress"">Madhab Area</span>","City : Fujairah,  UAE ",206,Phone : 09-2233800Call,Phone : 09-2233800Call,,
,"<span itemprop=""streetAddress"">Al Amal Building, Opp Old Labour Office, Near Mamzar Centre, Abu Hail</span>","City : Dubai,  UAE ",,Phone : 04-2667767Call,Phone : 04-2667767Call,,
,"<span itemprop=""streetAddress"">Mussafah</span>","City : Abu Dhabi,  UAE ",8586,Phone : 02-5553727Call,Phone : 02-5553727Call,,
,"<span itemprop=""streetAddress"">Near Mobaila Roundabout, Qassimiya Street, Yarmook</span>","City : Sharjah,  UAE ",,Phone : 06-5542929Call,Phone : 06-5542929Call,,
,"<span itemprop=""streetAddress"">Between Lal's S/Market &amp; Iranian Hospital, Satwa</span>","City : Dubai,  UAE ",23118,Phone : 04-3497126Call,Phone : 04-3497126Call,,
,"<span itemprop=""streetAddress"">Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5598846Call,Phone : 06-5598846Call,,
,"<span itemprop=""streetAddress"">Opp Zulekha Hospital, Al Butina</span>","City : Sharjah,  UAE ",,Phone : 06-5212042Call,Phone : 06-5212042Call,,
,"<span itemprop=""streetAddress"">Deira</span>","City : Dubai,  UAE ",,Phone : 04-2660043Call,Phone : 04-2660043Call,,
,"<span itemprop=""streetAddress"">Near Abu Hail Metro Station, Deira</span>","City : Dubai,  UAE ",,Phone : 04-2691147Call,Phone : 04-2691147Call,,
,"<span itemprop=""streetAddress"">Hamdan St</span>","City : Abu Dhabi,  UAE ",127473,Phone : 02-6724257Call,Phone : 02-6724257Call,,
,"<span itemprop=""streetAddress"">Karama</span>","City : Dubai,  UAE ",50253,Phone : 04-3972424Call,Phone : 04-3972424Call,,
,"<span itemprop=""streetAddress"">Muroor Rd</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6429888Call,Phone : 02-6429888Call,,
,"<span itemprop=""streetAddress"">Bhnd Mubarak Centre, Near Al Zarka Hotel, Al Nabba St</span>","City : Sharjah,  UAE ",,Phone : 06-5636774Call,Phone : 06-5636774Call,,
,"<span itemprop=""streetAddress"">Bhnd Naif Park, Naif Rd, Deira</span>","City : Dubai,  UAE ",4751,Phone : 04-2213623Call,Phone : 04-2213623Call,,
,"<span itemprop=""streetAddress"">Karama</span>","City : Dubai,  UAE ",,Phone : 04-3968087Call,Phone : 04-3968087Call,,
,"<span itemprop=""streetAddress"">Khalifa St</span>","City : Abu Dhabi,  UAE ",25708,Phone : 02-6275947Call,Phone : 02-6275947Call,,
,"<span itemprop=""streetAddress"">Opp Gold Center</span>","City : Sharjah,  UAE ",,Phone : 06-5669347Call,Phone : 06-5669347Call,,
,"<span itemprop=""streetAddress"">Behind NDC, Salam Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6747220Call,Phone : 02-6747220Call,,
,"<span itemprop=""streetAddress"">Opp Malabar Super Market, Deira</span>","City : Dubai,  UAE ",,Phone : 04-2239510Call,Phone : 04-2239510Call,,
,"<span itemprop=""streetAddress"">Bhnd SHJ Coop, Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5740001Call,Phone : 06-5740001Call,,
,"<span itemprop=""streetAddress"">Jumeira Beach Road</span>","City : Dubai,  UAE ",,Phone : 04-3380872Call,Phone : 04-3380872Call,,
,"<span itemprop=""streetAddress"">Shop 20, W 09 Building, Russia Cluster, International City</span>","City : Dubai,  UAE ",,Phone : 04-4211827Call,Phone : 04-4211827Call,,
,"<span itemprop=""streetAddress"">Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5632215Call,Phone : 06-5632215Call,,
,"<span itemprop=""streetAddress"">Satwa</span>","City : Dubai,  UAE ",,Phone : 04-3451300Call,Phone : 04-3451300Call,,
,,"City : Dubai,  UAE ",49936,Phone : 04-3368332Call,Phone : 04-3368332Call,,
,"<span itemprop=""streetAddress"">Millenium Hotel Abu Dhabi, Khalifa St.</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6146000Call,Phone : 02-6146000Call,,
,"<span itemprop=""streetAddress"">Farimont Bab Al Bahr</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6543333Call,Phone : 02-6543333Call,,
,"<span itemprop=""streetAddress"">Al Garhoud</span>","City : Dubai,  UAE ",,Phone : 04-2955590Call,Phone : 04-2955590Call,,
,"<span itemprop=""streetAddress"">Jumeirah</span>","City : Dubai,  UAE ",,Phone : 04-3955576Call,Phone : 04-3955576Call,,
,"<span itemprop=""streetAddress"">Corniche</span>","City : Abu Dhabi,  UAE ",44044,Phone : 02-6651516Call,Phone : 02-6651516Call,,
,"<span itemprop=""streetAddress"">Le Royal Meridian, Al Markaziyah</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6742020Call,Phone : 02-6742020Call,,
,"<span itemprop=""streetAddress"">Jumeirah Beach Rd</span>","City : Dubai,  UAE ",50156,Phone : 04-3453419Call,Phone : 04-3453419Call,,
,"<span itemprop=""streetAddress"">Deira</span>","City : Dubai,  UAE ",233891,Phone : 04-2943533Call,Phone : 04-2943533Call,,
,"<span itemprop=""streetAddress"">Qusais</span>","City : Dubai,  UAE ",1492,Phone : 04-2671445Call,Phone : 04-2671445Call,,
,"<span itemprop=""streetAddress"">City Tower 2, Shk Zayed Road</span>","City : Dubai,  UAE ",,Phone : 04-3589776Call,Phone : 04-3589776Call,,
,"<span itemprop=""streetAddress"">Hamdan St</span>","City : Abu Dhabi,  UAE ",34836,Phone : 02-6721999Call,Phone : 02-6721999Call,,
,,"City : Abu Dhabi,  UAE ",93576,Phone : 02-6391333Call,Phone : 02-6391333Call,,
,"<span itemprop=""streetAddress"">Deira</span>","City : Dubai,  UAE ",294912,Phone : 04-2956868Call,Phone : 04-2956868Call,,
,"<span itemprop=""streetAddress"">Jumeirah Road, Street 51, Jumeirah 1</span>","City : Dubai,  UAE ",,Phone : 04-3496020Call,Phone : 04-3496020Call,,
,"<span itemprop=""streetAddress"">Beach Road, Umm Suqeim 2</span>","City : Dubai,  UAE ",,Phone : 04-3883446Call,Phone : 04-3883446Call,,
,"<span itemprop=""streetAddress"">Dubai Festival City Business Bay Crossing </span>","City : Dubai,  UAE ",24119,Phone : 04-2329445Call,Phone : 04-2329445Call,,
,"<span itemprop=""streetAddress"">Al Quoz</span>","City : Dubai,  UAE ",34722,Phone : 04-3403345Call,Phone : 04-3403345Call,,
,"<span itemprop=""streetAddress"">Near Shindaga City Centre, Al Ghubaiba Rd, Opp Etisalat, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3543701Call,Phone : 04-3543701Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6778813Call,Phone : 02-6778813Call,,
,"<span itemprop=""streetAddress"">JLT</span>","City : Dubai,  UAE ",,Phone : 04-4429816Call,Phone : 04-4429816Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6765478Call,Phone : 02-6765478Call,,
,"<span itemprop=""streetAddress"">Bur Dubai</span>","City : Dubai,  UAE ",45076,Phone : 04-3517863Call,Phone : 04-3517863Call,,
,"<span itemprop=""streetAddress"">Emirates Palace Hotel, Ras Al Akhdar</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6909000Call,Phone : 02-6909000Call,,
,"<span itemprop=""streetAddress"">Emirates Palace, Al Ras Al Akhdar</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6907999Call,Phone : 02-6907999Call,,
,"<span itemprop=""streetAddress"">Al Diyafa St, Satwa</span>","City : Dubai,  UAE ",1038,Phone : 04-3459976Call,Phone : 04-3459976Call,,
,"<span itemprop=""streetAddress"">Bhnd Natl Bank of Dubai, Al Fahidi St, Bur Dubai</span>","City : Dubai,  UAE ",184341,Phone : 04-3515436Call,Phone : 04-3515436Call,,
,"<span itemprop=""streetAddress"">Discovery Gardens</span>","City : Dubai,  UAE ",487497,Phone : 04-4409844Call,Phone : 04-4409844Call,,
,"<span itemprop=""streetAddress"">Jumeirah</span>","City : Dubai,  UAE ",500069,Phone : 04-3449921Call,Phone : 04-3449921Call,,
,"<span itemprop=""streetAddress"">Hatta Rd, Aweer</span>","City : Dubai,  UAE ",60680,Phone : 04-2870393Call,Phone : 04-2870393Call,,
,"<span itemprop=""streetAddress"">Khalidiya</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6395544Call,Phone : 02-6395544Call,,
,"<span itemprop=""streetAddress"">New West Accommodation Area, Jafza</span>","City : Dubai,  UAE ",,Phone : 04-8838822Call,Phone : 04-8838822Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6760240Call,Phone : 02-6760240Call,,
,"<span itemprop=""streetAddress"">Abu Dhabi Mall</span>","City : Abu Dhabi,  UAE ",52203,Phone : 02-6760444Call,Phone : 02-6760444Call,,
,"<span itemprop=""streetAddress"">Level 3, Oasis Centre</span>","City : Dubai,  UAE ",,Phone : 055-8028677Call,Phone : 055-8028677Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6416655Call,Phone : 02-6416655Call,,
,"<span itemprop=""streetAddress"">Opp Islamic Bank, Mumtazar Rd</span>","City : Ras Al Khaimah,  UAE ",5748,Phone : 07-2282336Call,Phone : 07-2282336Call,,
,"<span itemprop=""streetAddress"">Al Barsha 1</span>","City : Dubai,  UAE ",,Phone : 04-3999650Call,Phone : 04-3999650Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6742121Call,Phone : 02-6742121Call,,
,"<span itemprop=""streetAddress"">Jumeirah</span>","City : Dubai,  UAE ",,Phone : 04-3282285Call,Phone : 04-3282285Call,,
,"<span itemprop=""streetAddress"">Near Sunset Mall, Jumeirah Beach Road</span>","City : Dubai,  UAE ",,Phone : 04-3883140Call,Phone : 04-3883140Call,,
,"<span itemprop=""streetAddress"">Abu Hail</span>","City : Dubai,  UAE ",,Phone : 04-2626900Call,Phone : 04-2626900Call,,
